,Unnamed: 0,Star Name,Apparent Magnitude,Absolute Magnitude,Spectral Type,b-v
0,0,Sun,-26.72,4.8,42.0,0.6521135410051319
1,1,Proxima Centauri,11.05,15.5,65.5,1.9594636484953012
2,2,Rigil Kentaurus,-0.01,4.4,42.0,0.6521135410051319
3,3,Alpha Cen B,1.33,5.7,41.0,0.6107739872896122
4,4,Barnard's Star,9.54,13.2,63.8,1.8432699945931426
5,5,Wolf 359,13.53,16.7,65.8,1.9803184280690844
6,6,BD +36 2146,7.5,10.5,62.1,1.7304481722847558
7,7,Luyten 726-8A,12.52,15.5,65.6,1.966403574449213
8,8,Luyten 726-8B,13.02,16.0,65.6,1.966403574449213
9,9,Sirius A,-1.46,1.4,21.0,0.028994897301738334
10,10,Ross 154,10.45,13.1,63.6,1.8298218304672198
11,11,Ross 248,12.29,14.8,64.9,1.9180691047561507
12,12,Epsilon Eri,3.73,6.1,52.0,1.1296788835781324
13,13,Ross 128,11.1,13.5,64.1,1.8635297450621418
14,14,60 Cyg A (V1803 Cyg),5.2,7.6,53.5,1.2113766771773287
15,15,60 Cyg B,6.03,8.4,54.7,1.2786250045071739
16,16,Epsilon Ind,4.68,7.0,53.0,1.1838523983772127
17,17,BD +43 44 A,8.08,10.4,61.3,1.6785222737568541
18,18,BD +43 44 B,11.06,13.4,63.8,1.8432699945931426
19,19,Procyon A,0.38,2.6,35.0,0.38723786342874583
20,20,BD +59 1915 A,8.9,11.2,63.0,1.7897573517858194
21,21,BD +59 1915 B,9.69,11.9,63.5,1.8231152492602811
22,22,CoD -36 15692,7.35,9.6,61.3,1.6785222737568541
